# BLASTN 2.6.0+
# Query: PAO1 cnorB
# Database: Data/database_sequences.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % query coverage per subject
# 20 hits found
PAO1	NC_002516.2	100.000	1293	0	0	1	1293	4199656	4200948	0.0	2388	100
PAO1	NC_011770.1	99.923	1293	1	0	1	1293	1337849	1336557	0.0	2383	100
PAO1	NC_008463.1	99.304	1293	9	0	1	1293	1358348	1357056	0.0	2338	100
PAO1	NC_009656.1	92.034	1293	100	2	1	1293	1386981	1385692	0.0	1814	100
PAO1	NZ_CP015878.1	77.962	1266	238	36	13	1258	5680749	5681993	0.0	754	96
PAO1	NZ_CP014158.1	77.725	1266	241	36	13	1258	5468761	5470005	0.0	737	96
PAO1	NZ_CP016162.1	80.753	691	123	10	562	1247	3899171	3899856	6.82e-149	531	53
PAO1	NZ_CP014784.1	78.902	692	130	16	564	1247	3802850	3803533	4.22e-126	455	53
PAO1	NZ_CP012400.2	77.407	509	95	16	706	1204	5302633	5303131	5.86e-75	285	39
PAO1	NZ_CP009048.1	74.522	628	146	14	584	1204	4585904	4586524	9.88e-68	261	48
# BLASTN 2.6.0+
# Query: PA0393 porC
# Database: Data/database_sequences.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % query coverage per subject
# 44 hits found
PA0393	NC_002516.2	100.000	822	0	0	1	822	435651	434830	0.0	1519	100
PA0393	NC_011770.1	99.757	822	2	0	1	822	429392	428571	0.0	1507	100
PA0393	NC_008463.1	99.148	822	7	0	1	822	450387	449566	0.0	1480	100
PA0393	NC_009656.1	96.350	822	30	0	1	822	502067	501246	0.0	1352	100
PA0393	NZ_CP014158.1	84.058	828	113	19	1	820	584090	583274	0.0	780	99
PA0393	NZ_CP015878.1	83.937	828	114	19	1	820	604839	604023	0.0	774	99
PA0393	NZ_CP014784.1	80.723	830	141	19	1	822	755018	754200	1.48e-178	628	100
PA0393	NC_017532.1	79.594	838	142	26	1	822	4423322	4424146	7.01e-162	573	100
PA0393	NC_009434.1	79.594	838	142	26	1	822	4303661	4304485	7.01e-162	573	100
PA0393	NC_017532.1	79.594	838	142	26	1	822	4423322	4424146	7.01e-162	573	100
PA0393	NC_009434.1	79.594	838	142	26	1	822	4303661	4304485	7.01e-162	573	100
PA0393	NZ_CP007012.1	79.472	833	146	22	1	822	5564951	5565769	3.26e-160	568	100
PA0393	NZ_CP009048.1	78.589	822	161	13	1	816	5467897	5468709	1.54e-148	529	99
PA0393	NZ_CP009533.1	78.166	829	163	17	1	820	3297455	3298274	1.55e-143	512	99
PA0393	NZ_CP009365.1	77.966	826	171	9	1	822	4545112	4545930	7.21e-142	507	100
PA0393	NZ_CP018420.1	77.404	832	163	23	1	821	6452085	6452902	2.63e-131	472	99
PA0393	NZ_CP016162.1	76.442	832	173	21	1	822	4826139	4826957	1.61e-118	429	100
PA0393	NZ_CP014546.1	76.639	839	159	31	1	822	1054967	1055785	1.61e-118	429	100
PA0393	NZ_CP016162.1	76.442	832	173	21	1	822	4826139	4826957	1.61e-118	429	100
PA0393	NZ_CP014546.1	76.639	839	159	31	1	822	1054967	1055785	1.61e-118	429	100
PA0393	NZ_CP023466.1	76.420	810	164	22	25	822	441627	440833	1.62e-113	412	97
PA0393	NZ_CP012400.2	76.019	834	171	28	1	821	164386	163569	2.71e-111	405	99
PA0393	NZ_CP017886.1	75.862	812	165	25	25	822	3325531	3324737	3.53e-105	385	97
PA0393	NZ_CP015600.1	76.123	779	147	33	1	761	6041854	6042611	2.75e-101	372	93
PA0393	NZ_CP011507.1	75.092	811	173	24	25	822	3618191	3617397	3.58e-95	351	97
